Solvent,TPSA_solv,MW_solv,HeavyAtomCount_solv,Gsolv_sol,Dipole_sol,Polarizability_sol,HOMO_sol,LUMO_sol,MaxPartialCharge_sol,MinPartialCharge_sol,LogP_sol
PX_0.2-OX_0.8,0.0,106.07825032000001,8.0,-0.07701518400044076,2.3134296000000005,118.85025279999999,-0.252542,-0.09835,0.7618,-0.6764000000000001,2.30344
PX_0.3-OX_0.7,0.0,106.07825031999998,8.0,-0.07640840100042601,2.3109264,118.69231969999998,-0.25254299999999996,-0.09834499999999999,0.7617,-0.6761,2.30344
PX_0.4-OX_0.6,0.0,106.07825032,8.0,-0.07586229630041276,2.30867352,118.55017991,-0.2525439,-0.0983405,0.76161,-0.67583,2.30344
PX_0.5-OX_0.5,0.0,106.07825032,8.0,-0.07525551330039804,2.3061703200000006,118.39224680999999,-0.2525449,-0.09833549999999999,0.76151,-0.67553,2.30344
PX_0.6-OX_0.4,0.0,106.07825032,8.0,-0.0746487303003833,2.30366712,118.23431370999998,-0.2525459,-0.09833049999999999,0.7614099999999999,-0.67523,2.30344
PX_0.7-OX_0.3,0.0,106.07825031999998,8.0,-0.0739812690003671,2.3009136000000003,118.06058729999998,-0.25254699999999997,-0.098325,0.7613,-0.6749,2.30344
PX_0.8-OX_0.2,0.0,106.07825032000001,8.0,-0.07337448600035237,2.2984104000000003,117.9026542,-0.252548,-0.09831999999999999,0.7612,-0.6746000000000001,2.30344
PX_0.9-OX_0.1,0.0,106.07825032,8.0,-0.07276770300033765,2.2959072000000003,117.74472109999999,-0.252549,-0.098315,0.7611000000000001,-0.6743,2.30344
PX_0.1-NMP_0.9,18.685200000000002,99.62920082096001,7.08,-0.14756091840063457,2.6030474800000003,138.995441,-0.25266960000000005,-0.09924840000000001,0.7757200000000001,-0.71448,0.40378719999999996
PX_0.2-NMP_0.8,17.0604,100.18998773391999,7.16,-0.14100439680060745,2.57612196,137.133819,-0.2526592,-0.0991668,0.77444,-0.71096,0.5689744
PX_0.3-NMP_0.7,15.232500000000002,100.82087301099999,7.25,-0.13362831000057698,2.5458307500000004,135.03949425,-0.2526475,-0.099075,0.773,-0.707,0.75481
PX_0.4-NMP_0.6,13.404600000000002,101.45175828807999,7.34,-0.1262522232005465,2.5155395400000002,132.94516950000002,-0.2526358,-0.0989832,0.77156,-0.7030400000000001,0.9406456000000001
PX_0.5-NMP_0.5,11.373600000000001,102.15274192928001,7.44,-0.1180565712005126,2.4818826400000003,130.61814200000003,-0.25262280000000004,-0.0988812,0.7699600000000001,-0.6986400000000001,1.1471296
PX_0.6-NMP_0.4,9.342600000000001,102.85372557048001,7.540000000000001,-0.10986091920047873,2.4482257400000007,128.2911145,-0.2526098,-0.09877920000000001,0.76836,-0.6942400000000001,1.3536136
PX_0.7-NMP_0.3,7.1085,103.62480757579999,7.65,-0.10084570200044146,2.4112031500000004,125.73138424999999,-0.25259550000000003,-0.098667,0.7666,-0.6894,1.5807460000000002
PX_0.8-NMP_0.2,4.8744000000000005,104.39588958112,7.76,-0.0918304848004042,2.37418056,123.17165399999999,-0.2525812,-0.0985548,0.76484,-0.6845600000000001,1.8078784
PX_0.9-NMP_0.1,2.4372000000000003,105.23706995056,7.88,-0.08199570240036355,2.3337922800000004,120.379221,-0.2525656,-0.0984324,0.76292,-0.6792800000000001,2.0556592
PX_0.1-CHO_0.9,15.533700000000001,98.7936226242,7.09,-0.13938730649949327,2.56944158,136.47666082,-0.25263189999999996,-0.09911990000000001,0.7737400000000001,-0.7094900000000001,1.5901456000000003
